codigo_cliente,sexo_cliente,intervalo_medio
3119,M,37
6957,F,14
12997,F,96
3316,M,274
4291,F,32
566,F,61
5390,F,60
2724,F,59
1188,F,50
8057,M,55
326,F,72
410,M,215
6209,F,2
523,F,54
1780,M,3
3543,F,131
16,M,90
4799,F,19
6760,F,6
6958,M,57
2204,F,95
3347,M,71
6126,F,242
10205,F,112
440,F,96
524,M,18
1499,F,49
2485,M,177
3460,F,23
3544,M,91
21423,F,90
2755,F,46
6013,M,152
15384,M,90
17261,F,105
20281,F,222
2599,M,100
751,F,72
2910,M,40
6634,F,48
7693,F,161
6127,M,51
10910,F,13
2736,F,103
4894,F,13
23759,F,39
110,F,85
1063,M,39
1169,F,5
5887,M,27
1260,M,19
1366,F,28
2425,F,163
3327,F,76
7249,F,91
732,F,98
866,M,17
3047,F,27
5099,M,83
12147,F,104
4394,M,68
8422,F,112
4925,F,63
12769,F,52
2102,F,294
1240,F,118
17242,F,212
429,M,30
535,F,23
2496,F,339
14576,F,13
8741,M,163
22845,F,78
2216,F,124
6138,F,37
13080,F,157
452,F,41
2307,M,112
6335,F,27
23396,F,19
1829,F,116
65,F,134
2026,F,135
4071,M,108
6934,M,19
10224,F,42
5440,F,91
1943,F,40
3904,F,307
12807,F,222
106,M,39
11043,F,130
376,F,106
18182,F,46
573,F,115
1673,M,108
5397,F,304
14614,F,190
23,M,11
2959,F,83
25001,F,27
136,F,25
220,M,82
1279,M,76
7162,M,95
490,F,29
531,M,32
2451,F,14
7473,M,84
4766,F,97
53,F,156
137,M,107
1112,F,47
3073,F,59
10099,M,51
12060,M,74
16957,F,40
250,F,76
334,M,99
3270,F,17
7192,F,65
7276,M,78
15350,F,55
20174,F,84
1506,F,127
3624,F,147
10409,F,68
2762,F,35
6684,F,78
1310,M,60
2432,F,83
3271,M,35
7256,F,85
10433,F,102
23415,F,6
1924,F,46
2826,F,271
6748,F,75
9662,M,9
3180,F,19
6945,F,220
16056,M,81
4507,F,157
14469,F,2
1621,M,26
4641,M,1
4704,F,12
979,F,30
3999,F,36
6756,M,83
1176,F,44
2660,F,142
896,F,30
2857,F,129
3696,M,113
3916,F,27
7681,F,39
34,F,125
1093,F,31
1995,F,128
3054,F,43
125,M,154
1290,F,4
2774,F,22
1692,M,23
4030,F,72
2109,F,73
3168,F,45
8149,F,76
11169,F,257
345,F,36
3259,M,257
8346,F,37
466,F,15
9610,M,83
2781,F,299
3924,M,225
4742,F,13
10709,M,37
1017,F,71
5841,F,151
3373,M,154
10315,M,0
580,F,30
3600,F,11
3881,M,221
8778,F,46
13916,F,49
3092,F,263
8073,F,27
18937,F,276
269,F,54
2387,F,42
4348,F,116
8270,F,12
778,M,109
2812,F,63
8695,F,278
891,F,136
975,M,20
3995,M,66
8892,F,14
17795,F,1
186,F,24
2345,M,76
7128,F,50
2542,M,214
7325,F,78
30,M,79
300,F,152
4420,M,295
13282,F,54
497,F,42
2656,M,39
167,F,64
1006,M,38
7109,F,166
364,F,18
7306,F,48
561,F,11
3581,F,218
2876,F,156
3081,M,110
7003,M,205
7223,F,67
2439,F,59
3498,F,108
4337,M,55
7420,F,131
1628,M,51
2687,M,23
3589,M,54
1931,F,32
6806,M,35
8873,F,103
11893,F,93
10357,F,254
3612,F,21
5416,F,62
1848,F,8
2801,M,32
8790,F,19
15889,F,80
4431,F,39
1608,F,38
6589,F,214
7648,F,91
10668,F,64
22591,F,14
2758,M,36
8904,F,213
10865,F,31
3218,F,30
4120,F,94
8042,F,3
12015,M,88
319,F,51
7261,F,30
1575,F,107
24519,F,36
6794,M,260
910,F,297
1108,M,57
3226,M,175
5187,M,25
6950,F,32
433,F,120
1335,F,67
5341,M,106
12356,F,103
1689,F,102
3734,M,11
827,F,166
163,M,54
1024,F,75
7105,M,30
9025,F,214
1449,F,33
1533,M,155
2508,F,35
8475,M,15
12470,F,33
24393,F,34
828,M,33
3848,M,18
2902,F,142
277,M,59
1647,M,60
3608,M,246
7446,F,143
11525,F,29
1252,F,84
9253,F,35
14234,F,188
1981,F,259
2883,F,0
5238,F,44
3631,F,24
4690,F,36
5435,F,12
11632,F,125
6214,F,30
7116,F,139
2489,F,59
4344,M,70
13510,F,204
2686,F,39
4804,F,162
3950,M,81
288,F,54
2406,F,168
4367,F,107
485,F,175
536,M,65
6525,F,29
733,M,32
839,F,18
2800,F,16
6722,F,124
2166,F,76
5868,M,33
1461,F,249
6482,F,116
23543,F,58
18759,F,48
917,F,109
4923,M,37
9075,F,37
55,F,258
1114,F,117
8370,F,111
8454,M,286
25932,F,16
2370,F,90
4529,M,16
2567,F,74
8764,F,53
24877,F,33
3189,F,11
6366,F,45
366,F,114
1623,M,40
5859,M,67
7622,F,131
1820,M,14
4642,F,37
2131,M,26
5067,F,125
8244,F,271
11264,F,69
367,M,115
2328,M,49
21463,F,145
1736,F,33
4756,F,196
1102,F,103
1186,M,43
6397,F,199
7383,M,200
1456,F,26
4476,F,8
9698,M,177
2712,F,111
14949,F,44
20716,M,91
7186,M,54
9106,F,55
23933,M,84
5756,F,72
815,F,57
150,F,30
13446,F,46
3375,M,36
7831,F,76
4631,M,49
6906,M,276
10146,F,26
17873,F,20
3284,F,64
6461,F,12
689,F,78
4965,F,324
8142,F,322
181,F,43
8339,F,25
15438,F,33
3292,M,284
11607,M,60
803,F,101
8961,F,151
2898,M,50
4859,M,102
8256,F,21
9315,F,30
5433,F,137
12532,F,75
1445,M,76
4571,F,292
6583,M,64
7748,F,0
1672,F,50
810,F,44
3830,F,216
6105,F,168
2264,M,33
3125,F,71
15362,F,75
2263,F,54
3520,M,104
4579,M,162
5597,F,108
811,M,86
1786,F,141
2575,M,87
5554,F,79
841,F,58
2999,F,102
14334,F,109
333,F,137
3394,M,35
5471,F,99
9550,F,290
3748,M,44
12767,F,9
1857,F,35
2916,F,124
8211,F,68
1152,F,35
4172,F,352
5388,F,5
10369,F,113
14448,F,176
1349,F,234
4567,M,9
2605,F,62
5782,F,193
6841,F,1
11822,F,74
13940,F,31
314,F,94
4236,F,219
3531,F,44
4590,F,271
2669,F,0
4787,F,105
7858,M,84
10878,M,156
15154,M,240
4130,M,197
4547,F,159
19490,F,76
822,F,46
8078,F,111
913,M,73
385,F,321
1224,M,111
7641,F,8
1421,M,74
2700,F,32
3759,F,42
5015,F,150
1133,F,63
4153,F,149
6322,M,42
14429,F,248
7535,M,32
1535,M,59
1755,F,80
2905,M,92
3011,F,47
188,F,49
4161,M,9
5377,M,61
309,F,120
393,M,31
2427,F,51
2511,M,172
7565,F,124
14664,F,159
663,F,80
747,M,147
1649,M,320
5801,F,122
6860,F,248
860,F,38
10077,F,65
5293,F,75
7254,F,106
423,F,54
4699,F,37
3994,F,61
10191,F,3
6309,F,0
8625,M,62
13606,M,75
22154,F,161
1596,F,41
1680,M,19
5832,F,19
9754,F,19
10897,M,255
12931,F,353
18500,F,23
3911,F,141
7990,F,0
1990,F,69
3049,F,40
2344,F,19
3246,F,70
651,F,62
2612,F,68
7045,F,168
2104,F,82
1440,M,30
2301,F,210
3558,M,112
23284,F,22
1908,M,204
3030,F,26
4089,F,79
24915,F,2
207,F,37
1266,F,42
3227,F,73
6404,F,44
7660,F,288
10680,F,101
8916,F,76
3144,F,281
1160,M,93
26041,F,12
4597,F,27
7774,F,71
10089,F,32
18,M,31
238,F,92
4160,F,248
9235,M,235
14436,F,121
25143,F,39
1274,M,83
2396,F,110
6632,F,96
2644,M,79
13928,F,71
3849,F,193
6124,F,36
12164,F,49
2313,F,3
4211,M,56
6549,F,22
4628,F,68
7805,F,240
746,F,137
1805,F,13
2707,F,80
4719,M,11
23690,F,16
41,F,139
3857,M,55
12172,M,88
162,F,59
2207,M,133
4168,M,39
8320,F,174
20988,F,71
2320,F,39
3379,F,199
10832,F,235
2871,F,175
5030,M,113
8009,F,273
13147,F,30
2321,M,35
7532,F,354
8434,F,117
12513,F,0
1459,M,122
1532,F,281
5611,F,43
6670,F,120
7729,F,51
23417,F,7
670,F,294
10085,M,118
867,F,21
1065,M,9
3887,F,96
1292,F,23
7489,F,84
14588,F,124
587,F,32
1489,F,153
5725,F,106
7770,M,153
2745,F,280
5922,F,45
12119,F,37
981,F,54
3099,F,49
10198,F,175
17885,F,62
2465,F,14
6701,F,14
9721,F,84
1603,F,45
1687,M,99
3721,F,31
4707,M,72
8859,F,75
37,M,166
2859,F,34
1293,M,44
2726,F,83
5840,M,42
9080,F,47
3982,F,132
257,F,22
5132,M,22
5395,F,29
6454,F,63
17055,M,15
1513,F,63
24457,F,25
3679,M,291
6017,F,24
14175,F,123
15234,F,121
16136,F,67
17,F,29
1915,M,26
8332,F,9
4293,F,39
8529,F,70
16687,F,129
1521,M,164
7190,F,144
1190,F,48
6265,M,97
328,F,314
4301,M,161
1584,F,95
3702,F,60
7781,F,229
14880,F,65
2009,F,56
3068,F,36
3907,M,105
6245,F,51
20874,F,33
1304,F,87
3045,M,12
5320,M,236
1395,M,73
2454,M,101
8757,F,23
21425,F,146
5934,F,19
7789,M,81
2721,F,208
5668,M,158
7702,F,0
1041,M,60
5036,F,28
15900,F,128
4174,F,56
8096,F,294
15195,F,53
2410,F,51
3469,F,45
3667,M,78
7391,F,0
874,F,66
2919,M,60
3894,F,39
1155,M,89
