CODIGO_CLIENTE,ID_COMPRA,SEXO_CLIENTE,QTD_ITENS
2762,1775781,F,4
15889,1607074,F,3
9721,1120622,F,2
411,1263727,F,224
2364,1349702,F,6
961,828578,M,19
3883,801969,F,4
5791,1661182,F,42
5980,799932,F,2
4449,1202850,F,3
2599,917610,M,1
1338,1854331,F,13
19263,1914089,F,38
8533,1114643,F,36
1269,767900,F,8
2976,915228,F,8
5677,1080469,F,6
6737,1159916,F,17
1811,1193738,F,25
4050,1241601,F,4
1254,1334933,M,4
8631,987761,F,9
2003,1879880,F,9
6873,1583403,M,33
11082,1879876,F,29
9239,1548146,M,32
5775,1546917,F,2
7976,1053514,F,17
25005,1785712,F,3
3974,1282116,F,6
15549,1146687,F,11
1883,1211827,F,4
572,1813412,F,8
23296,1736014,F,22
2619,801965,M,2
1603,897649,F,125
6201,883381,F,13
20398,918505,F,2
10059,1889843,F,37
3455,1594018,M,13
3679,1721358,M,5
6698,1865906,F,3
30,1081063,M,112
3632,1572987,F,26
9665,1396689,F,2
3275,770691,M,3
2768,1143354,F,12
6831,1277606,F,4
192,897350,F,2
6601,1135530,M,13
10409,1705705,F,2
45,1252821,F,27
2407,1637020,M,4
6299,1373652,F,72
9038,1246892,F,36
410,1724379,M,7
2687,1455705,M,7
14198,1370175,F,39
2328,1922432,M,22
1829,1003599,F,10
21229,1223154,F,6
24363,1797790,F,26
1290,1485992,F,25
22018,972150,F,12
18408,1229943,F,55
297,860545,F,74
6388,1457673,F,61
3950,980997,M,24
1978,1204946,M,1
7251,1755869,F,1
1021,815902,M,4
460,790082,F,3
7454,1049201,F,10
1456,832420,F,2
8790,870742,F,51
45,1236748,F,22
9396,1796061,F,14
6457,1595936,F,48
7829,1870770,F,9
12129,1198738,F,65
7801,1017106,F,1
4014,1117626,F,15
17242,1004940,F,20
5435,1503784,F,2
2360,1270258,F,4
13977,869847,F,3
6124,1049958,F,1
2872,760429,F,7
20588,1882928,F,4
4901,1189176,M,11
11822,936602,F,5
4092,983101,F,1
21170,1601706,F,5
1766,1190929,M,11
6413,1368923,F,17
2441,987603,F,3
4611,895588,F,44
7026,777914,F,53
362,1211325,F,4
1232,1705574,M,5
1211,972288,F,10
17919,1174875,F,0
1596,988980,F,24
866,1151398,M,9
3218,1641490,F,3
22378,1539713,F,36
21253,862998,F,2
14198,1173204,F,10
1621,1899356,M,37
17057,760048,F,10
4241,1876956,M,11
4470,1642550,F,30
6178,934292,F,20
14429,1776224,F,7
462,1020822,F,41
1663,930637,M,14
2194,1072695,F,1
1718,1064080,F,9
452,1173554,F,22
1414,1204957,F,4
2927,1845384,M,7
900,838892,F,6
24048,1753184,F,3
3191,1341365,M,10
4271,1882650,F,2
1700,1750365,F,13
2684,1644876,F,6
8982,1041457,F,4
6485,1271166,M,21
7620,1705177,F,4
4514,1753556,M,9
1967,760035,F,72
1290,1390492,F,1
223,1708697,F,1
192,1169143,F,1
6722,1617420,F,6
2377,1360024,M,6
1138,1443071,F,206
7096,1133357,F,1
5939,1760934,M,2
4348,866655,F,95
4282,1029195,F,37
426,1664697,F,46
1663,1796128,M,0
24624,1918429,F,9
1623,1399539,M,10
5738,941704,M,3
3984,1529885,M,24
12010,1103100,M,2
4925,1870828,F,1
1688,1557563,F,16
1035,882900,M,3
4167,1146982,F,6
275,1189924,F,51
1732,1708822,F,3
8107,1751185,F,5
1816,789944,F,11
2151,1639066,F,2
5950,1813443,M,14
3099,1679950,F,13
1290,1501764,F,1
1212,1177893,F,11
3372,775630,F,6
2112,1747010,F,36
4752,1029072,F,5
90,1842042,M,36
3455,1206605,M,18
11233,1834107,F,37
5199,1784039,F,12
8073,1083761,F,21
559,1562358,F,3
3184,1667515,F,95
501,1230659,F,37
22591,1237057,F,29
1809,1295462,F,10
2671,1073658,M,9
1610,1102872,M,29
2127,1727729,F,2
17808,1394063,M,12
776,1151731,F,35
4016,999964,F,3
5036,1096522,F,27
23831,1583350,F,1
5855,1786497,F,2
6707,914871,F,18
9203,1597055,F,2
9423,1611896,F,1
7109,1287370,F,2
11123,960587,F,5
2377,1421996,M,4
7941,1230334,F,36
3494,1423751,F,5
3982,1829687,F,70
1017,1109312,F,12
9862,1188455,F,5
4525,1256143,M,29
5800,1651411,M,3
6671,1346326,F,23
1261,1672289,F,19
11144,1045514,M,5
4729,775943,M,58
5381,1718977,F,75
7571,1210305,M,0
7640,1239063,M,4
24766,1906709,F,57
9738,1074573,F,8
11342,1319831,F,36
11358,1338324,F,127
410,1052636,M,5
2055,1691973,F,9
16297,1627578,F,81
831,1346426,M,108
10297,1125739,F,6
2496,1873790,F,13
3100,938023,F,75
18,1701790,M,2
4797,1799345,F,20
591,1879695,F,2
9507,1467875,F,15
1461,882110,F,39
4970,895407,F,22
277,1157687,M,11
3705,1773907,F,2
25385,1870097,F,1
2015,1095401,F,22
10896,974489,M,1
2781,1789896,F,21
8449,832439,M,11
3413,1842201,F,4
572,1567891,F,5
4168,1696572,M,3
3191,1276877,M,14
12513,1274601,F,1
3212,1534695,M,1
7131,1169450,F,3
1652,1195728,M,6
524,1244915,M,16
4556,1216822,F,7
6937,1859101,F,1
3322,1116389,M,1
2365,1760220,M,20
21462,1641546,F,9
2371,1231943,F,7
3068,1070469,F,7
5844,1395361,F,50
6619,1388532,F,1
18659,1103574,F,3
6958,1845409,M,27
3253,1609350,F,13
8928,1899456,M,24
9238,1508330,F,37
4690,1062664,F,7
3373,1295746,M,37
1174,1565859,F,2
11682,999958,M,7
2377,1520994,M,10
3903,1036069,F,5
21029,834104,F,5
11880,791578,F,39
2407,1004853,M,4
319,1100577,F,40
9411,1267796,F,46
5645,1065868,F,12
9506,1567649,M,9
1078,1626475,F,12
4812,965357,M,1
6694,811561,M,11
11824,1573585,F,3
8211,1554556,F,4
11429,1700509,F,4
9568,1867974,F,1
2286,812126,F,12
1470,907003,M,6
3644,1874807,M,1
14288,773054,F,65
3413,1736173,F,11
2059,875253,F,47
5207,1065956,F,4
7042,1612327,M,4
5379,1025655,F,69
2781,838348,F,14
7079,1619176,F,1
1547,1489174,F,5
6934,1399202,M,16
5082,1033125,F,4
10794,1048072,F,62
1609,1360130,F,12
207,1214167,F,5
860,1711549,F,1
8614,1596507,M,3
996,1566133,M,9
2644,1174191,M,1
12499,1179462,F,4
1098,1685705,M,2
6160,756686,F,20
3344,1466765,M,22
16601,1182577,M,25
2533,987462,M,4
10436,1061875,F,50
2850,1187248,M,31
4534,895232,F,11
3264,1117653,F,52
4174,1845326,F,13
8928,1246897,M,15
2023,1870370,F,6
5417,1724250,F,33
6650,767658,M,8
14746,933396,F,1
5253,1912899,M,4
23185,1352125,F,7
22020,1210387,F,24
1608,1260179,F,1
524,1826694,M,1
4055,965768,F,1
414,1334379,M,8
137,1922383,M,1
514,1584894,M,9
6726,1561174,M,14
4168,1189234,M,1
651,863184,F,1
24615,1719873,F,56
3191,1165499,M,5
12117,931174,F,13
2427,1000015,F,9
2649,1191633,F,40
9665,1465073,F,3
2039,848390,F,11
2515,1757471,M,5
4088,799655,F,3
2712,1175523,F,24
423,1362217,F,5
9738,1524951,F,153
559,1031731,F,0
173,781892,F,4
993,767994,M,16
17480,1865919,F,4
4513,1805938,M,28
1339,1893036,M,23
6001,1185097,F,1
7950,1859206,F,2
3984,1753145,M,16
470,1233510,F,9
2955,1918493,F,5
6950,1564460,F,4
3984,1630987,M,2
2345,1572550,M,3
24217,1858864,F,1
14151,846901,F,8
2895,849875,M,68
7770,907588,M,11
2367,1133522,M,2
20989,1704637,F,9
1848,1718927,F,1
3218,1498064,F,6
7262,912185,F,6
1454,1155079,M,28
3996,1613040,F,3
1051,1879062,F,0
1764,1768559,M,10
20693,1562518,M,2
22148,1033149,F,50
3103,1890043,F,37
2146,815527,M,7
