mes;categoria;frequencia;valor;quantidade
1;Mercearia;6191;36748;7062,555
1;Bebidas;3658;30443,33;6558,009
1;Frios e Laticínios;2199;13005,27;3312,806
1;Higiene;1592;11006,19;1657,944
1;Hortifruti;1341;6457,62;1439,272
1;Limpeza;1272;7501,44;1341,952
1;Padaria;1105;5590,17;722,705
1;Carnes;887;12261,56;1168,07
1;Utilidades;420;4463,04;414,48
1;Outros;249;3112,22;260,22
1;Pet Shop;74;733,97;74
1;Congelados;54;674,8;44,154
2;Mercearia;5791;33551,62;6309,515
2;Bebidas;4166;35059,19;8489,549
2;Frios e Laticínios;2479;14473,41;3907,066
2;Higiene;1571;9986,75;1628,104
2;Limpeza;1281;7457,32;1338,848
2;Hortifruti;1271;6225,83;1365,123
2;Padaria;1040;4932,91;656,341
2;Carnes;990;14798,18;1193,002
2;Utilidades;394;3988,92;409,904
2;Outros;201;2510,35;205,985
2;Pet Shop;73;1128,84;75
2;Congelados;50;461,14;38,68
3;Mercearia;9081;52378,41;9890,382
3;Bebidas;5087;35501,59;8029,319
3;Frios e Laticínios;2925;24238,54;5265,518
3;Higiene;2402;16278,45;2459,566
3;Hortifruti;1917;9226,14;1996,101
3;Limpeza;1885;10299,11;1948,834
3;Carnes;1436;21319,8;1778,312
3;Padaria;1204;6198,9;818,913
3;Utilidades;475;4423,7;475,12
3;Outros;332;3938,81;317,162
3;Pet Shop;96;846,03;103
3;Congelados;65;771,49;55,076
4;Mercearia;8354;51840,44;8947,901
4;Bebidas;5639;41539,41;9436,697
4;Frios e Laticínios;3218;24739,63;5419,076
4;Higiene;2105;14224,58;2178,196
4;Hortifruti;1882;9142,79;2037,408
4;Limpeza;1565;9244,07;1666,071
4;Carnes;1425;21600,78;1792,982
4;Padaria;1347;7391,42;1001,089
4;Utilidades;515;6179,56;542,91
4;Outros;233;2945,16;233,033
4;Congelados;85;968,86;72,9
4;Pet Shop;66;701,77;65,676
5;Mercearia;8955;52996,36;9792,759
5;Bebidas;5391;45786,73;12914,98
5;Frios e Laticínios;3251;24345,34;5676,326
5;Higiene;2175;14294,8;2217,696
5;Hortifruti;1785;8401,97;1841,316
5;Limpeza;1664;9562,08;1740,858
5;Carnes;1467;20380,08;1787,371
5;Padaria;1357;7108,07;941,915
5;Utilidades;550;6272,35;557,49
5;Outros;195;3511,67;191,675
5;Pet Shop;78;604,41;77,578
5;Congelados;76;942,08;68,292
6;Mercearia;6905;40782,14;7583,648
6;Bebidas;4060;34157,19;12028,47
6;Frios e Laticínios;2323;17905,06;4398,99
